nivel;id_inscripcion;genero;municipio;departamento;aprobo;discapacidad;edad;rango;categoria
Especialista;466.818.945;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Especialista;196.905.402;M;Neiva;Huila;SI;NO;39;31 a 40;ADULTO JOVEN
Especialista;229.204.643;F;Bogota;Bogota;SI;NO;43;41 A 50;ADULTO
Tecnico;525.931.843;M;Cali;Valle del Cauca;SI;NO;47;41 A 50;ADULTO
Especialista;924.168.565;M;Bucaramanga;Santander;SI;NO;46;41 A 50;ADULTO
Especialista;841.267.048;M;Bogota;Bogota;SI;NO;24;18  A 30;JOVEN
Tecnico;883.386.352;F;Bogota;Bogota;SI;NO;33;31 a 40;ADULTO JOVEN
Especialista;411.993.178;M;Bogota;Bogota;SI;NO;43;41 A 50;ADULTO
Especialista;327.926.373;M;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Especialista;143.095.760;F;Bogota;Bogota;SI;NO;36;31 a 40;ADULTO JOVEN
Tecnico;875.700.499;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Especialista;745.854.275;F;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Especialista;749.366.563;M;Bogota;Bogota;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;900.365.619;M;Barranquilla;Atlantico;SI;NO;25;18  A 30;JOVEN
Especialista;679.793.339;F;Bogota;Bogota;SI;NO;41;41 A 50;ADULTO
Especialista;377.479.814;F;Bogota;Bogota;SI;NO;42;41 A 50;ADULTO
Profesional;200.235.565;F;Bogota;Bogota;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Tecnico;983.596.962;F;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Especialista;544.767.366;M;Cucuta;Norte de Santander;SI;NO;30;18  A 30;JOVEN
Especialista;530.645.463;F;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Especialista;916.744.800;F;Bogota;Bogota;SI;SI;59;51 EN ADELANTE;ADULTO MAYOR
Especialista;695.105.779;M;Bogota;Bogota;SI;NO;42;41 A 50;ADULTO
Especialista;902.745.981;M;Bogota;Bogota;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;135.996.714;F;Bogota;Bogota;SI;NO;48;41 A 50;ADULTO
Profesional;935.273.740;M;Cucuta;Norte de Santander;SI;NO;18;18  A 30;JOVEN
Especialista;96.695.799;M;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Asistencial;281.863.637;F;Santa Marta;Magdalena;SI;NO;31;31 a 40;ADULTO JOVEN
Especialista;359.715.233;F;Riohacha;La Guajira;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;42.900.053;M;Bogota;Bogota;SI;NO;20;18  A 30;JOVEN
Profesional;915.889.109;M;Bogota;Bogota;SI;NO;57;51 EN ADELANTE;ADULTO MAYOR
Especialista;570.994.685;F;Bogota;Bogota;SI;NO;49;41 A 50;ADULTO
Tecnico;19.939.868;M;Bogota;Bogota;SI;NO;22;18  A 30;JOVEN
Especialista;981.041.499;M;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Profesional;770.473.551;M;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Especialista;973.775.877;F;Bogota;Bogota;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Especialista;865.505.541;F;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Asistencial;393.993.284;F;Barranquilla;Atlantico;SI;NO;25;18  A 30;JOVEN
Tecnico;830.130.356;M;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Especialista;590.386.985;F;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Asistencial;103.626.551;M;Bogota;Bogota;SI;NO;34;31 a 40;ADULTO JOVEN
Profesional;168.969.940;M;Villavicencio;Meta;SI;NO;26;18  A 30;JOVEN
Tecnico;197.355.984;F;Medellin;Antioquia;SI;NO;24;18  A 30;JOVEN
Especialista;869.077.710;M;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Especialista;92.667.389;F;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Especialista;108.901.513;M;Bogota;Bogota;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Especialista;956.043.007;F;Bogota;Bogota;SI;NO;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;164.055.675;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Profesional;429.882.346;M;Bogota;Bogota;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Especialista;518.802.709;F;Bogota;Bogota;SI;NO;47;41 A 50;ADULTO
Profesional;933.736.613;M;Bogota;Bogota;SI;NO;24;18  A 30;JOVEN
Profesional;536.346.020;M;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Especialista;93.809.442;M;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Especialista;760.937.774;F;Bogota;Bogota;SI;NO;45;41 A 50;ADULTO
Tecnico;861.907.228;F;Medellin;Antioquia;SI;NO;37;31 a 40;ADULTO JOVEN
Especialista;907.769.201;F;Bucaramanga;Santander;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Tecnico;526.515.974;F;Bogota;Bogota;SI;NO;50;41 A 50;ADULTO
Tecnico;582.876.272;F;Bogota;Bogota;SI;NO;20;18  A 30;JOVEN
Especialista;68.665.665;M;Bogota;Bogota;SI;NO;34;31 a 40;ADULTO JOVEN
Especialista;353.307.131;F;Bogota;Bogota;SI;SI;33;31 a 40;ADULTO JOVEN
Profesional;97.362.743;F;Bogota;Bogota;SI;SI;52;51 EN ADELANTE;ADULTO MAYOR
Especialista;819.514.295;F;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;905.515.915;M;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;365.648.341;M;Bogota;Bogota;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;663.398.510;F;Bogota;Bogota;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Especialista;402.729.286;M;Bogota;Bogota;SI;SI;46;41 A 50;ADULTO
Tecnico;299.895.208;M;Monteria;Cordoba;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;156.744.879;F;Bogota;Bogota;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Tecnico;987.561.767;F;Medellin;Antioquia;SI;NO;29;18  A 30;JOVEN
Especialista;506.120.165;M;Bogota;Bogota;SI;NO;41;41 A 50;ADULTO
Especialista;800.130.342;F;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Especialista;356.091.713;F;Villavicencio;Meta;SI;NO;28;18  A 30;JOVEN
Especialista;301.467.493;M;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Especialista;242.790.710;M;Bogota;Bogota;SI;NO;36;31 a 40;ADULTO JOVEN
Especialista;505.042.685;F;Bogota;Bogota;SI;NO;47;41 A 50;ADULTO
Especialista;204.608.912;M;Bogota;Bogota;SI;NO;18;18  A 30;JOVEN
Asistencial;975.888.460;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Asistencial;270.636.558;M;Neiva;Huila;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;357.496.705;M;Bogota;Bogota;SI;NO;44;41 A 50;ADULTO
Especialista;957.569.029;M;Bogota;Bogota;SI;NO;46;41 A 50;ADULTO
Tecnico;922.934.140;F;Bogota;Bogota;SI;NO;31;31 a 40;ADULTO JOVEN
Especialista;620.355.413;M;Bogota;Bogota;SI;NO;33;31 a 40;ADULTO JOVEN
Profesional;607.254.520;M;Bogota;Bogota;SI;NO;50;41 A 50;ADULTO
Especialista;291.393.815;M;Bogota;Bogota;SI;NO;24;18  A 30;JOVEN
Especialista;795.988.446;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Tecnico;534.838.752;F;Bogota;Bogota;SI;NO;28;18  A 30;JOVEN
Profesional;752.285.667;M;Villavicencio;Meta;SI;NO;48;41 A 50;ADULTO
Tecnico;160.754.281;F;Bogota;Bogota;SI;SI;30;18  A 30;JOVEN
Asistencial;184.729.946;M;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Profesional;561.557.548;F;Pasto;Narino;SI;NO;30;18  A 30;JOVEN
Tecnico;410.861.243;F;Medellin;Antioquia;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;478.598.356;M;Cali;Valle del Cauca;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;921.899.139;M;Bogota;Bogota;SI;NO;25;18  A 30;JOVEN
Especialista;876.743.768;M;Bucaramanga;Santander;SI;NO;29;18  A 30;JOVEN
Tecnico;466.218.719;F;Bogota;Bogota;SI;NO;29;18  A 30;JOVEN
Especialista;430.855.130;M;Bogota;Bogota;SI;NO;29;18  A 30;JOVEN
Tecnico;644.072.275;M;Bogota;Bogota;SI;SI;35;31 a 40;ADULTO JOVEN
Especialista;83.211.793;F;Bogota;Bogota;SI;NO;47;41 A 50;ADULTO
Especialista;472.229.701;F;Bogota;Bogota;SI;NO;19;18  A 30;JOVEN
Tecnico;217.858.002;M;Bogota;Bogota;SI;NO;42;41 A 50;ADULTO
Profesional;694.466.549;M;Bogota;Bogota;SI;NO;36;31 a 40;ADULTO JOVEN
Asistencial;600.285.052;M;Bogota;Bogota;SI;SI;39;31 a 40;ADULTO JOVEN
Profesional;419.020.292;F;Pasto;Narino;SI;NO;23;18  A 30;JOVEN
Asistencial;503.917.077;M;Sincelejo;Sucre;SI;NO;43;41 A 50;ADULTO
Asistencial;146.181.017;F;Bogota;Bogota;SI;NO;47;41 A 50;ADULTO
Profesional;999.124.625;M;Riohacha;La Guajira;SI;NO;48;41 A 50;ADULTO
Especialista;433.547.554;F;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;197.246.147;F;Cucuta;Norte de Santander;SI;NO;26;18  A 30;JOVEN
Tecnico;452.047.082;M;Pasto;Narino;SI;SI;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;994.353.217;M;Pasto;Narino;SI;SI;51;51 EN ADELANTE;ADULTO MAYOR
Especialista;809.283.743;M;Barranquilla;Atlantico;SI;NO;35;31 a 40;ADULTO JOVEN
Asistencial;563.147.110;M;Barranquilla;Atlantico;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;41.894.871;M;Cucuta;Norte de Santander;SI;NO;46;41 A 50;ADULTO
Profesional;81.420.403;F;Bogota;Bogota;SI;NO;42;41 A 50;ADULTO
Asistencial;60.169.938;F;Bogota;Bogota;SI;NO;39;31 a 40;ADULTO JOVEN
Profesional;710.960.310;M;Bogota;Bogota;SI;NO;18;18  A 30;JOVEN
Profesional;479.173.153;F;Medellin;Antioquia;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;962.499.746;F;Medellin;Antioquia;SI;NO;35;31 a 40;ADULTO JOVEN
Profesional;481.361.428;F;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Asistencial;100.905.333;F;Medellin;Antioquia;SI;NO;20;18  A 30;JOVEN
Especialista;101.794.856;F;Bogota;Bogota;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Especialista;117.721.679;M;Bogota;Bogota;SI;NO;42;41 A 50;ADULTO
Especialista;599.137.597;M;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Profesional;57.874.057;F;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Asistencial;673.561.753;M;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;494.746.213;M;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Tecnico;809.844.427;M;Santa Marta;Magdalena;SI;NO;43;41 A 50;ADULTO
Tecnico;602.248.859;M;Barranquilla;Atlantico;SI;NO;44;41 A 50;ADULTO
Tecnico;93.579.440;M;Barranquilla;Atlantico;SI;NO;46;41 A 50;ADULTO
Asistencial;917.056.146;F;Bogota;Bogota;SI;NO;40;31 a 40;ADULTO JOVEN
Profesional;400.598.349;F;Cali;Valle del Cauca;SI;NO;26;18  A 30;JOVEN
Profesional;435.149.011;M;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Especialista;659.891.720;M;Bogota;Bogota;SI;NO;19;18  A 30;JOVEN
Especialista;991.483.623;M;Bogota;Bogota;SI;NO;22;18  A 30;JOVEN
Asistencial;691.294.146;M;Bogota;Bogota;SI;NO;57;51 EN ADELANTE;ADULTO MAYOR
Profesional;898.431.356;M;Medellin;Antioquia;SI;NO;29;18  A 30;JOVEN
Especialista;899.145.870;F;Ibague;Tolima;SI;NO;39;31 a 40;ADULTO JOVEN
Especialista;734.355.414;M;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Profesional;226.116.146;F;Bogota;Bogota;SI;NO;19;18  A 30;JOVEN
Asistencial;294.163.704;M;Monteria;Cordoba;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Especialista;447.157.446;F;Bogota;Bogota;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Profesional;939.470.031;M;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Profesional;644.850.052;M;Bucaramanga;Santander;SI;NO;20;18  A 30;JOVEN
Profesional;996.679.308;M;Medellin;Antioquia;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Tecnico;366.020.903;M;Bogota;Bogota;SI;NO;43;41 A 50;ADULTO
Tecnico;119.666.083;M;Medellin;Antioquia;SI;NO;35;31 a 40;ADULTO JOVEN
Especialista;201.089.136;M;Armenia;Quindio;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Asistencial;890.157.684;M;Ibague;Tolima;SI;NO;22;18  A 30;JOVEN
Asistencial;691.495.483;M;Cali;Valle del Cauca;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;115.981.045;M;Villavicencio;Meta;SI;NO;36;31 a 40;ADULTO JOVEN
Tecnico;889.851.275;M;Bogota;Bogota;SI;NO;41;41 A 50;ADULTO
Profesional;810.055.819;F;Bogota;Bogota;SI;NO;27;18  A 30;JOVEN
Especialista;626.879.482;M;Bogota;Bogota;SI;NO;26;18  A 30;JOVEN
Profesional;659.784.320;F;Bogota;Bogota;SI;NO;23;18  A 30;JOVEN
Profesional;340.347.711;F;Ibague;Tolima;SI;NO;18;18  A 30;JOVEN
Profesional;224.151.350;F;Valledupar;Cesar;SI;NO;35;31 a 40;ADULTO JOVEN
Profesional;303.974.332;M;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Asistencial;477.637.683;F;Arauca;Arauca;SI;NO;37;31 a 40;ADULTO JOVEN
Profesional;244.382.840;M;Bucaramanga;Santander;SI;NO;47;41 A 50;ADULTO
Tecnico;548.573.088;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Especialista;398.425.320;M;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Asistencial;813.707.742;M;Medellin;Antioquia;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;905.248.311;M;Bogota;Bogota;SI;NO;24;18  A 30;JOVEN
Profesional;852.517.172;F;Bogota;Bogota;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;839.886.458;M;Medellin;Antioquia;SI;NO;28;18  A 30;JOVEN
Profesional;735.992.472;F;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Asistencial;349.068.576;F;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;621.161.860;M;Bogota;Bogota;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Asistencial;660.558.556;M;Barranquilla;Atlantico;SI;NO;34;31 a 40;ADULTO JOVEN
Especialista;739.171.589;M;Bogota;Bogota;SI;NO;37;31 a 40;ADULTO JOVEN
Asistencial;73.478.385;F;Cali;Valle del Cauca;SI;NO;20;18  A 30;JOVEN
Profesional;72.147.281;F;Santa Marta;Magdalena;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Asistencial;697.799.617;M;Bogota;Bogota;SI;NO;49;41 A 50;ADULTO
Profesional;855.903.558;M;Bogota;Bogota;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Especialista;925.753.838;M;Bogota;Bogota;SI;SI;50;41 A 50;ADULTO
Asistencial;345.898.053;M;Medellin;Antioquia;SI;NO;18;18  A 30;JOVEN
Profesional;107.690.042;M;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Tecnico;21.035.915;F;Bogota;Bogota;SI;SI;23;18  A 30;JOVEN
Profesional;10.481.602;M;Bogota;Bogota;SI;NO;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;202.546.658;M;Bucaramanga;Santander;SI;NO;42;41 A 50;ADULTO
Asistencial;859.597.928;F;Cali;Valle del Cauca;SI;NO;47;41 A 50;ADULTO
Tecnico;727.828.896;F;Bucaramanga;Santander;SI;NO;31;31 a 40;ADULTO JOVEN
Profesional;970.724.671;M;Cucuta;Norte de Santander;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Asistencial;296.028.633;M;Bogota;Bogota;SI;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;488.643.481;F;Barranquilla;Atlantico;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Tecnico;791.331.369;F;Pereira;Risaralda;SI;NO;42;41 A 50;ADULTO
Profesional;179.484.171;M;Cali;Valle del Cauca;SI;NO;27;18  A 30;JOVEN
Profesional;475.834.089;N;Monteria;Cordoba;SI;NO;23;18  A 30;JOVEN
Profesional;944.901.538;M;Neiva;Huila;SI;NO;47;41 A 50;ADULTO
Profesional;124.433.318;F;Bogota;Bogota;SI;SI;22;18  A 30;JOVEN
Tecnico;640.515.505;M;Pereira;Risaralda;SI;NO;21;18  A 30;JOVEN
Tecnico;18.567.126;F;Pereira;Risaralda;SI;NO;30;18  A 30;JOVEN
Profesional;640.505.734;M;Bucaramanga;Santander;SI;NO;32;31 a 40;ADULTO JOVEN
Profesional;477.502.629;M;Medellin;Antioquia;SI;NO;29;18  A 30;JOVEN
Profesional;447.562.544;F;Bogota;Bogota;SI;NO;50;41 A 50;ADULTO
Tecnico;699.940.462;F;Cali;Valle del Cauca;SI;NO;27;18  A 30;JOVEN
Profesional;731.698.452;F;Bogota;Bogota;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Especialista;827.563.921;F;Medellin;Antioquia;SI;NO;46;41 A 50;ADULTO
Profesional;374.953.401;F;Bogota;Bogota;SI;SI;37;31 a 40;ADULTO JOVEN
Especialista;748.730.481;F;Cucuta;Norte de Santander;SI;NO;24;18  A 30;JOVEN
Tecnico;768.634.938;M;Ibague;Tolima;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Especialista;733.405.568;M;Barranquilla;Atlantico;SI;NO;29;18  A 30;JOVEN
Especialista;291.436.915;M;Bogota;Bogota;SI;NO;18;18  A 30;JOVEN
Profesional;651.960.471;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Profesional;174.769.026;M;Bogota;Bogota;SI;NO;43;41 A 50;ADULTO
Profesional;953.466.222;M;Bucaramanga;Santander;SI;SI;38;31 a 40;ADULTO JOVEN
Especialista;510.030.260;M;Barranquilla;Atlantico;SI;NO;53;51 EN ADELANTE;ADULTO MAYOR
Tecnico;275.828.465;F;Cartagena De Indias;Bolivar;SI;NO;38;31 a 40;ADULTO JOVEN
Profesional;578.991.106;F;Medellin;Antioquia;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Especialista;864.586.703;F;Bogota;Bogota;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Asistencial;966.974.702;M;Armenia;Quindio;SI;NO;33;31 a 40;ADULTO JOVEN
Especialista;995.027.667;M;Bogota;Bogota;SI;NO;48;41 A 50;ADULTO
Profesional;534.096.872;M;Florencia;Caqueta;SI;NO;21;18  A 30;JOVEN
Tecnico;796.834.542;M;Ibague;Tolima;SI;NO;32;31 a 40;ADULTO JOVEN
Especialista;234.937.953;M;Bogota;Bogota;SI;NO;38;31 a 40;ADULTO JOVEN
Tecnico;967.696.400;M;Barranquilla;Atlantico;SI;NO;18;18  A 30;JOVEN
Profesional;297.617.470;M;Valledupar;Cesar;SI;SI;38;31 a 40;ADULTO JOVEN
Profesional;345.434.082;M;Pereira;Risaralda;SI;NO;34;31 a 40;ADULTO JOVEN
Profesional;322.222.350;M;Bucaramanga;Santander;SI;NO;29;18  A 30;JOVEN
